date, pm25, pm10, o3, no2, so2, co
2019/7/31, 32, , , , , 
2019/8/1, 43, , , , , 
2019/8/2, 30, , , , , 
2019/8/3, 23, , , , , 
2019/8/4, 20, , , , , 
2019/8/5, 25, , , , , 
2019/8/6, 10, , , , , 
2019/8/7, 13, , , , , 
2019/8/8, 16, , , , , 
2019/8/9, 11, , , , , 
2019/8/10, 19, , , , , 
2019/8/11, 18, , , , , 
2019/8/12, 25, , , , , 
2019/8/13, 19, , , , , 
2019/8/14, 20, , , , , 
2019/8/15, 9, , , , , 
2019/8/16, 12, , , , , 
2019/8/17, 24, , , , , 
2019/8/18, 14, , , , , 
2019/8/19, 8, , , , , 
2019/8/20, 14, , , , , 
2019/8/21, 14, , , , , 
2019/8/22, 28, , , , , 
2019/8/23, 37, , , , , 
2019/8/24, 16, , , , , 
2019/8/25, 17, , , , , 
2019/8/26, 22, , , , , 
2019/8/27, 31, , , , , 
2019/8/28, 17, , , , , 
2019/8/29, 19, , , , , 
2019/8/30, 30, , , , , 
2019/8/31, 47, , , , , 
2019/9/1, 13, , , , , 
2019/9/2, 16, , , , , 
2019/9/3, 17, , , , , 
2019/9/4, 34, , , , , 
2019/9/5, 26, , , , , 
2019/9/6, 22, , , , , 
2019/9/7, 17, , , , , 
2019/9/8, 14, , , , , 
2019/9/9, 21, , , , , 
2019/9/10, 27, , , , , 
2019/9/11, 29, , , , , 
2019/9/12, 17, , , , , 
2019/9/13, 26, , , , , 
2019/9/14, 29, , , , , 
2019/9/15, 27, , , , , 
2019/9/16, 19, , , , , 
2019/9/17, 15, , , , , 
2019/9/18, 18, , , , , 
2019/9/19, 25, , , , , 
2019/9/20, 20, , , , , 
2019/9/21, 28, , , , , 
2019/9/22, 15, , , , , 
2019/9/23, 9, , , , , 
2019/9/24, 11, , , , , 
2019/9/25, 18, , , , , 
2019/9/26, 21, , , , , 
2019/9/27, 12, , , , , 
2019/9/28, 18, , , , , 
2019/9/29, 18, , , , , 
2019/9/30, 19, , , , , 
2019/4/1, 14, , , , , 
2019/4/2, 16, , , , , 
2019/4/3, 24, , , , , 
2019/4/4, 40, , , , , 
2019/4/5, 51, , , , , 
2019/4/9, 22, , , , , 
2019/4/10, 23, , , , , 
2019/4/11, 12, , , , , 
2019/4/12, 25, , , , , 
2019/4/13, 36, , , , , 
2019/4/14, 39, , , , , 
2019/4/15, 59, , , , , 
2019/4/16, 50, , , , , 
2019/4/17, 33, , , , , 
2019/4/18, 25, , , , , 
2019/4/19, 21, , , , , 
2019/4/20, 46, , , , , 
2019/4/21, 37, , , , , 
2019/4/22, 17, , , , , 
2019/4/23, 13, , , , , 
2019/4/24, 27, , , , , 
2019/4/25, 31, , , , , 
2019/4/26, 30, , , , , 
2019/4/27, 18, , , , , 
2019/4/28, 4, , , , , 
2019/4/29, 11, , , , , 
2019/4/30, 18, , , , , 
2019/5/1, 25, , , , , 
2019/5/2, 12, , , , , 
2019/5/3, 16, , , , , 
2019/5/4, 17, , , , , 
2019/5/5, 16, , , , , 
2019/5/6, 19, , , , , 
2019/5/7, 21, , , , , 
2019/5/8, 11, , , , , 
2019/5/9, 14, , , , , 
2019/5/10, 20, , , , , 
2019/5/11, 17, , , , , 
2019/5/12, 14, , , , , 
2019/5/13, 8, , , , , 
2019/5/14, 10, , , , , 
2019/5/15, 30, , , , , 
2019/5/16, 34, , , , , 
2019/5/17, 56, , , , , 
2019/5/18, 69, , , , , 
2019/5/19, 66, , , , , 
2019/5/20, 37, , , , , 
2019/5/21, 28, , , , , 
2019/5/22, 34, , , , , 
2019/5/23, 28, , , , , 
2019/5/24, 22, , , , , 
2019/5/25, 21, , , , , 
2019/5/26, 14, , , , , 
2019/5/28, 17, , , , , 
2019/5/29, 13, , , , , 
2019/5/30, 24, , , , , 
2019/5/31, 28, , , , , 
2019/6/1, 34, , , , , 
2019/6/2, 31, , , , , 
2019/6/3, 23, , , , , 
2019/6/4, 20, , , , , 
2019/6/5, 19, , , , , 
2019/6/6, 23, , , , , 
2019/6/7, 23, , , , , 
2019/6/8, 41, , , , , 
2019/6/9, 33, , , , , 
2019/6/10, 20, , , , , 
2019/6/11, 20, , , , , 
2019/6/12, 16, , , , , 
2019/6/13, 16, , , , , 
2019/6/14, 22, , , , , 
2019/6/15, 26, , , , , 
2019/6/16, 36, , , , , 
2019/6/17, 47, , , , , 
2019/6/18, 20, , , , , 
2019/6/19, 15, , , , , 
2019/6/20, 27, , , , , 
2019/6/21, 31, , , , , 
2019/6/22, 36, , , , , 
2019/6/23, 58, , , , , 
2019/6/24, 71, , , , , 
2019/6/25, 47, , , , , 
2019/6/26, 32, , , , , 
2019/6/27, 32, , , , , 
2019/6/28, 20, , , , , 
2019/6/29, 15, , , , , 
2019/6/30, 12, , , , , 
2019/1/1, 49, , , , , 
2019/1/2, 24, , , , , 
2019/1/3, 30, , , , , 
2019/1/4, 56, , , , , 
2019/1/5, 38, , , , , 
2019/1/6, 20, , , , , 
2019/1/7, 13, , , , , 
2019/1/8, 31, , , , , 
2019/1/9, 26, , , , , 
2019/1/10, 21, , , , , 
2019/1/11, 22, , , , , 
2019/1/12, 34, , , , , 
2019/1/13, 35, , , , , 
2019/1/14, 50, , , , , 
2019/1/15, 65, , , , , 
2019/1/16, 55, , , , , 
2019/1/17, 54, , , , , 
2019/1/18, 52, , , , , 
2019/1/19, 40, , , , , 
2019/1/20, 24, , , , , 
2019/1/21, 34, , , , , 
2019/1/22, 53, , , , , 
2019/1/23, 41, , , , , 
2019/1/24, 34, , , , , 
2019/1/25, 51, , , , , 
2019/1/26, 42, , , , , 
2019/1/27, 20, , , , , 
2019/1/28, 23, , , , , 
2019/1/29, 36, , , , , 
2019/1/31, 23, , , , , 
2019/2/1, 22, , , , , 
2019/2/2, 41, , , , , 
2019/2/3, 65, , , , , 
2019/2/4, 51, , , , , 
2019/2/6, 50, , , , , 
2019/2/7, 43, , , , , 
2019/2/8, 52, , , , , 
2019/2/9, 31, , , , , 
2019/2/10, 24, , , , , 
2019/2/11, 30, , , , , 
2019/2/12, 20, , , , , 
2019/2/13, 33, , , , , 
2019/2/14, 29, , , , , 
2019/2/15, 33, , , , , 
2019/2/16, 40, , , , , 
2019/2/17, 51, , , , , 
2019/2/18, 40, , , , , 
2019/2/19, 36, , , , , 
2019/2/20, 27, , , , , 
2019/2/21, 28, , , , , 
2019/2/22, 21, , , , , 
2019/2/23, 19, , , , , 
2019/2/24, 35, , , , , 
2019/2/25, 42, , , , , 
2019/2/26, 39, , , , , 
2019/2/27, 38, , , , , 
2019/2/28, 57, , , , , 
2019/3/1, 47, , , , , 
2019/3/2, 36, , , , , 
2019/3/3, 38, , , , , 
2019/3/4, 45, , , , , 
2019/3/5, 38, , , , , 
2019/3/6, 30, , , , , 
2019/3/7, 27, , , , , 
2019/3/8, 28, , , , , 
2019/3/9, 40, , , , , 
2019/3/10, 68, , , , , 
2019/3/11, 35, , , , , 
2019/3/12, 34, , , , , 
2019/3/13, 22, , , , , 
2019/3/14, 22, , , , , 
2019/3/15, 32, , , , , 
2019/3/16, 30, , , , , 
2019/3/17, 58, , , , , 
2019/3/18, 56, , , , , 
2019/3/19, 18, , , , , 
2019/3/20, 24, , , , , 
2019/3/22, 53, , , , , 
2019/3/23, 48, , , , , 
2019/3/24, 25, , , , , 
2019/3/25, 18, , , , , 
2019/3/26, 19, , , , , 
2019/3/27, 35, , , , , 
2019/3/28, 28, , , , , 
2019/3/29, 28, , , , , 
2019/3/30, 17, , , , , 
2019/3/31, 10, , , , , 
2018/10/1, 17, , , , , 
2018/10/2, 20, , , , , 
2018/10/3, 25, , , , , 
2018/10/4, 23, , , , , 
2018/10/5, 24, , , , , 
2018/10/6, 25, , , , , 
2018/10/7, 40, , , , , 
2018/10/8, 39, , , , , 
2018/10/10, 24, , , , , 
2018/10/11, 21, , , , , 
2018/10/12, 23, , , , , 
2018/10/13, 18, , , , , 
2018/10/14, 16, , , , , 
2018/10/15, 11, , , , , 
2018/10/16, 17, , , , , 
2018/10/17, 14, , , , , 
2018/10/18, 10, , , , , 
2018/10/19, 14, , , , , 
2018/10/20, 18, , , , , 
2018/10/21, 27, , , , , 
2018/10/22, 17, , , , , 
2018/10/23, 25, , , , , 
2018/10/24, 31, , , , , 
2018/10/25, 25, , , , , 
2018/10/26, 30, , , , , 
2018/10/27, 25, , , , , 
2018/10/28, 22, , , , , 
2018/10/29, 19, , , , , 
2018/10/30, 28, , , , , 
2018/10/31, 43, , , , , 
2018/11/1, 46, , , , , 
2018/11/2, 44, , , , , 
2018/11/3, 38, , , , , 
2018/11/4, 30, , , , , 
2018/11/5, 38, , , , , 
2018/11/6, 31, , , , , 
2018/11/7, 31, , , , , 
2018/11/8, 16, , , , , 
2018/11/9, 19, , , , , 
2018/11/10, 20, , , , , 
2018/11/11, 18, , , , , 
2018/11/12, 23, , , , , 
2018/11/13, 33, , , , , 
2018/11/14, 30, , , , , 
2018/11/15, 19, , , , , 
